Activo;Origen;Idioma;µrea de conocimiento;Prop¢sito de formaci¢n;Tipo de contenido;Tipo de art°culo;ID de art°culo;T°tulo del art°culo;Descripci¢n;Contenido del curso;Fecha de creaci¢n;Fecha de publicaci¢n;Costo del curso;Proveedor;Responsable;Experto del curso;Duraci¢n (en horas);Horas de crÇdito
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3034;Mi Primer Empleo (MPE);"®QuÇ debo tener en cuenta en mi primer empleo? El curso ""Mi Primer Empleo"" (MPE) te ayudar† a enfrentar con Çxito el tr†nsito entre tu formaci¢n profesional y el mundo del trabajo. Los objetivos de aprendizaje de este curso son: ? Identificar las expectativas laborales personales actuales y futuras. ? Preparar el curriculum vitae y la entrevista de trabajo. ? Gestionar la huella digital. El MPE abordar† los siguientes t¢picos: ? MI PROYECTO LABORAL: lo que puedo hoy y lo que deseo para el futuro. ? PARA CADA OFERTA LABORAL, UN CURRICULUM: Construyendo e Intencionado el Curriculum Vitae. ? EL PRIMER ENCUENTRO: c¢mo preparar la entrevista laboral. ? LA VIDA PERSONAL, LABORAL E INTERNET: Gestionando la Huella Digital. Este curso es parte del proyecto Erasmus + ""MOOC MAKER"": Construcci¢n de Capacidades de Gesti¢n de MOOCs en la Educaci¢n Superior. M†s informaci¢n visitar: http://www.mooc-maker.org/";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Chile;;
Y;Coursera;Espanol;;;Enlace;VIRTUAL;COURSERA_18007;Aspectos b†sicos de la planificaci¢n y la gesti¢n de proyectos;Vivimos rodeados de proyectos. Pr†cticamente todas las organizaciones dirigen proyectos, ya sea de manera formal o informal.Los tenemos en casa y en el trabajo. A travÇs de determinados par†metros, principios de planificaci¢n y metodolog°as de ejecuci¢n, los proyectos se pueden gestionar de forma eficiente y efectiva. La gesti¢n de proyectos ofrece a las organizaciones (y las personas) el lenguaje y los marcos para organizar proyectos, programar actividades, utilizar recursos y minimizar riesgos. Este es un curso de introducci¢n a los conceptos b†sicos de la planificaci¢n y ejecuci¢n de proyectos. Identificaremos los factores que llevan al Çxito en este †mbito y aprenderemos a planificar, analizar y gestionar proyectos. Los alumnos repasar†n metodolog°as de vanguardia y evaluar†n los desaf°os de varios tipos de proyectos.;;6 may. 2021;;;;;;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3256;Fundamentos del marketing mix;"En este curso haremos una introducci¢n a las cuatro Ps del marketing (producto, precio, promoci¢n y plaza), y te har† analizar estratÇgicamente tu producto o servicio. La primera sesi¢n es sobre gesti¢n de productos. Est† dise§ada para proporcionar los conocimientos necesarios para comprender y gestionar el papel estratÇgico de marcas y productos en la generaci¢n de los resultados del negocio. Posteriormente trabajaremos sobre la definici¢n de las estrategias de precios en donde cubriremos los principales conceptos y tÇcnicas para formular precios. A travÇs de las sesiones sobre actividades promocionales (comunicaci¢n y publicidad) explorar†s los diferentes canales de comunicaci¢n disponibles y comprender†s la importancia del plan de medios. Todo estos se complementa con lo que aprender†s en la sesi¢n final sobre la £ltima "" P ? ? Place - donde se tienen en cuenta los canales y estrategias de venta, con el objetivo primordial de la definici¢n de una estrategia de distribuci¢n para su producto o servicio.";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Ie Business School;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3168;Marketing Verde;"Al finalizar este curso ser†s capaz de dise§ar y ejecutar campa§as para productos, servicios o iniciativas relacionadas con alg£n tema ambiental, as° como tambiÇn de crear propuestas de valor para cualquier producto o servicio con criterios de sostenibilidad ambiental, es decir, generando el mayor valor para la marca y el menor impacto posible en el entorno. El curso de Marketing Verde te ofrece la oportunidad de tener mayores elementos de competitividad en tu gesti¢n profesional, ya que es un espacio en el que ser†s capaz de definir c¢mo el tema ambiental puede ser un valor agregado que puedes vincular al direccionamiento estratÇgico y creativo de las marcas. Si eres un profesional que se desempe§a en el †rea de mercadeo o un estudiante que tiene inquietud por el tema y pronto iniciar†s tu vida laboral en el campo, Marketing Verde te dar† herramientas para desarrollar tus habilidades creativas, de planeaci¢n y ejecuci¢n llevando los conceptos del marketing verde a la pr†ctica en el dise§o de estrategias y actividades empresariales. EmpodÇrate para desarrollar una gesti¢n de mercadeo m†s responsable y con criterios de sostenibilidad. Para tomar el curso de Marketing Verde debes contar con unos conocimientos b†sicos de mercadeo que garantizar†n que puedas desarrollar y culminar este curso con Çxito. Para saber si est†s listo, te invito a tomar el examen de diagn¢stico que plantea 10 preguntas muy sencillas de conceptos b†sicos de mercadeo; tambiÇn, te ofrezco un material de apoyo sobre Fundamentos de Mercadeo que puedes consultar para repasar los conceptos b†sicos en caso de que lo necesites. De lo general a lo particular, el curso de Marketing Verde abordar† conceptos asociados a la realidad ambiental y su relaci¢n con la gesti¢n empresarial, la planeaci¢n estratÇgica para productos y servicios verdes, el an†lisis del consumidor y su relaci¢n con el tema ambiental y las principales decisiones de mercadeo (segmentaci¢n, targeting, posicionamiento y marketing mix) vinculando el atributo ambiental.";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Los Andes;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3122;Pilares de Marketing Digital;El Marketing Digital ha revolucionado la forma de hacer negocios, y ninguna corporaci¢n, empresa, emprendedor o profesional puede desconocer su importancia vital para lograr el Çxito. Este curso proporciona al alumno el dominio de los criterios estratÇgicos, tÇcnicas y herramientas propias de la disciplina. Objetivos: - Comprender el ecosistema completo del Marketing Digital - Desarrollar las mejores estrategias para conseguir los objetivos - Identificar las principales herramientas para ejecutar las acciones que contemplan Çstas estrategias - Aprender a monitorear o controlar para tomar acciones correctivas;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad Austral;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3271;Introducci¢n al Marketing;Aprende las bases de Marketing llegando al fondo de toma de decisiones del cliente. DespuÇs de completar con Çxito este curso, puedes aplicar estas habilidades en un reto empresarial de la vida real como parte de la Programa Especializadode Fundamentos de Negocios de Wharton.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Pensilvania;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3080;Formulaci¢n y evaluaci¢n de proyectos complejos;Bienvenido al curso de Formulaci¢n y evaluaci¢n de proyectos complejos de ingenier°a, soy AndrÇs Felipe G¢mez y te estarÇ acompa§ando a lo largo de estas 8 semanas en las que aprender†s los fundamentos b†sicos para poder determinar si un proyecto es factible o no, desde su ideaci¢n hasta su operaci¢n, por lo que podr†s formular y evaluar proyectos desde las diferentes dimensiones que incorpora la complejidad de este. Al finalizar este curso estar†s en capacidad de entender quÇ hace que un proyecto sea complejo, cu†les son las etapas de su ciclo de vida para su formulaci¢n, y el proceso l¢gico para evaluar su factibilidad desde m£ltiples dimensiones del conocimiento. Con todo este nuevo conocimiento adquirir†s una nueva l¢gica sobre la cual podr†s ver los proyectos, por lo que este curso te permitir† no solo adquirir conocimientos base para diversas certificaciones, sino que te permitir† desarrollarte, o profundizar, en el campo laboral de la gerencia de proyectos. Este curso lo pensamos para ti, con la calidad que la Universidad de los Andes les ofrece a sus alumnos. Adicionalmente, este curso ofrece 36 PDUs para aquellas personas certificadas como PMP, PMI-RMP o PMI-SP de acuerdo con el Tri†ngulo del Talento del PMI©. Los PDUs est†n distribuidos de la siguiente manera: Formas de trabajo ? 20 PDUs Habilidades de poder ? 6 PDUs Visi¢n para los negocios ? 10 PDUs;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Los Andes;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3046;Las redes sociales en acci¢n;"Como un mercad¢logo, tenemos claro que nuestra funci¢n principal en las empresas es identificar las necesidades del mercado y con base en ellas establecer estrategias de compra ? venta que causen impacto y satisfagan las necesidades de los consumidores. êste es un reto importante, pero adem†s de ser creativos en la definici¢n de estas estrategias, tenemos que tener en cuenta el desarrollo que a travÇs de los £ltimos a§os ha tenido el Internet y atr†s de Çl las redes sociales. Es por ello que hay que estar conscientes de la importancia que las redes van teniendo y c¢mo pueden ayudar a la promoci¢n de los productos y servicios que como proveedor estamos ofreciendo. En este curso podr†s conocer c¢mo se ejecuta una estrategia de redes sociales y las consideraciones que debes de tener para controlar y medir el desempe§o de tu estrategia. Podr†s identificar c¢mo evaluar si es posible gestionar la estrategia con recursos propios, si es necesario utilizar una agencia o si es apropiado hacerlo con un esquema mixto; tambiÇn reconocer†s la importancia de realizar una escucha activa y las herramientas que te permitir†n desarrollar esta actividad, las plataformas m†s convenientes y la frecuencia m†s apropiada para tu negocio, los indicadores clave de medir y c¢mo hacerlo y finalmente las tÇcnicas para optimizar el desempe§o de tu estrategia de redes sociales y lograr tus objetivos. Seguramente te ser†n de gran utilidad dentro del †mbito de la mercadotecnia.";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Tecnol¢gico De Monterrey;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3095;El arte de negociar;Empleados de todo nivel y con cargos de todo tipo pueden aplicar a diario el arte de negociar. Los alumnos adquieren una visi¢n actual de las estrategias y t†cticas de negociaci¢n, aprenden lo que significa negociar y se familiarizan con diversos tipos de negociaciones, como regateos a ultranza, gana-ganas, negociaciones en nombre de una organizaci¢n y negociaciones a t°tulo individual. En el curso se analizan los rasgos personales y la conducta de un negociador eficaz y se habla de c¢mo el empoderamiento, una posici¢n de fuerza y la autoridad que uno tenga afectan la marcha y el resultado de una negociaci¢n. TambiÇn se aborda la importancia de hacer una buena planificaci¢n y preparaci¢n antes de una reuni¢n de negociaci¢n.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;University Of California, Irvi;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3169;Mi nueva empresa: los siguientes pasos;Este curso ha sido dise§ado para ser el £ltimo del programa en Desarrollo de nuevas empresas (https://www.coursera.org/specializations/desarrollo-nuevas-empresas), y se espera que cuando lo inicies ya hayas hecho el ajuste entre tu producto y el consumidor (se trabaja en el curso ®C¢mo convertir mi idea en empresa?), la composici¢n del modelo de negocio de tu emprendimiento (se trabaja en el curso ®C¢mo construir mi modelo de negocio?) y hayas definido las cifras de tu empresa (se trabaja en el curso ®C¢mo financiar mi empresa?). Si a£n no has tomado los 3 cursos anteriores a este, te recomendamos que lo hagas y as° llegues a este curso preparado para integrar todo el aprendizaje logrado en esos cursos previos para ponerlo al servicio de tu propio proyecto. En cada uno de los cursos precedentes, haz realizado iterativamente unos desplazamientos entre teor°a y pr†ctica, integrando lo mejor de los dos mundos, pero siempre con un enfoque en el tema particular de cada curso. Aqu°, el objetivo es lograr que t£ como emprendedor lleves cada una de las dimensiones de la empresa a un desempe§o muy alto, y m†s all† de esto, que la ventaja de la empresa se vea apuntalada por claras sinergias entre los distintos componentes. Esta suma de fortalezas lleva a que las capacidades sean dif°ciles de replicar y a que la ventaja sea sostenible. En este curso har†s una evaluaci¢n integral del negocio, identificar†s barreras que debes resolver y generar†s soluciones creativas que te permitan superar estas restricciones, actuando al mismo tiempo en los distintos niveles que ahora manejas (el ajuste entre el producto y el consumidor, la composici¢n del modelo de negocio y la agilidad con las cifras de la empresa). Al cerrar este curso, habr†s activado tu capacidad para conducir tu emprendimiento con mano certera y de comunicarlo desde una perspectiva integral. Contar†s con una amplia gama de recursos para generar nuevas estrategias de crecimiento. Objetivo de aprendizaje: Evaluar las fortalezas y debilidades del proyecto desarrollado hasta ahora y plantear soluciones creativas que integren todos los componentes, desde el conocimiento del consumidor hasta los componentes del modelo de negocio y los factores que determinan los flujos de efectivo y rentabilidad. Esta etapa recoge los principales aprendizajes desarrollados a lo largo de los cursos anteriores. Se sugiere la construcci¢n de la soluci¢n integrada en grupos de 5 personas, donde cada uno de los participantes hace parte de la junta directiva de los proyectos de sus compa§eros de grupo.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Los Andes;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3111;®C¢mo construir mi modelo de negocio?;"Este curso te ofrece desarrollar un modelo de negocio estructurado, con base en la metodolog°a del Canvas Business Model, para crear una propuesta de valor orientada a los diferentes segmentos identificados como mercado objetivo de tu negocio o empresa. Al terminar el curso, tendr†s un modelo de negocio diferenciado, con una propuesta de valor clara a travÇs de prototipos validados con los consumidores. Vas a estructurar un modelo de negocio que te permitir† obtener un negocio diferenciado, viable y efectivo. Objetivos de aprendizaje: 1. Construir el modelo de negocio en torno a la propuesta de valor. El modelo de negocio es el sistema de actividades que se debe constituir para lograr que el proyecto emprendedor funcione en la pr†ctica. Sus componentes incluyen la definici¢n del segmento de mercado en el que se va a operar; los canales a travÇs de los cuales se va a llegar al consumidor; las actividades, recursos y aliados del proyecto; y las fuentes de ingresos y costos. 2. Identificar los actores cr°ticos que deben tomar decisiones favorables para el proyecto en cada uno de los componentes del modelo de negocio. Establecer una propuesta de valor diferenciada para cada uno de esos actores. 3. Validar el modelo de negocio en contacto directo con los consumidores y con los diferentes actores, cuyas decisiones son importantes para el proyecto. Ten en cuenta que este curso ha sido dise§ado como el segundo de cuatro cursos que hacen parte del programa especializado en ?Desarrollo de nuevas empresas? (https://www.coursera.org/specializations/desarrollo-nuevas-empresas), cuyo objetivo es brindarte una ruta pr†ctica y accesible para crear y consolidar tu propia empresa, partiendo del an†lisis de tus ideas, de tus propias habilidades y de las oportunidades que te ofrece tu entorno inmediato. El primer curso del programa se llama ""®C¢mo convertir mi idea en empresa?"" (https://www.coursera.org/learn/idea-empresa/home/welcome), te recomendamos que te inscribas y participes en Çl si no lo has hecho. Puedes tomar todos los cursos del programa por separado o s¢lo uno de ellos, sin embargo te recomendamos que te inscribas y participes en los cuatro, ojal† en el orden que te proponemos, de manera que llegues al £ltimo curso denominado ""Mi nueva empresa: los siguientes pasos"" preparado para aplicar los conocimientos adquiridos en los cursos anteriores y lleves tu emprendimiento o negocio a la realidad.";;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;Universidad De Los Andes;;
Y;Coursera;Espanol;;Conocimiento;Enlace;VIRTUAL;COURSERA_3272;Administraci¢n de Proyectos Project;En este m¢dulo, se desarrollar† el proyecto final, el cual tiene como prop¢sito fundamental el aplicar los conocimientos que has adquirido a travÇs de la especialidad. En primer lugar, se seleccionar† un proyecto de alguna situaci¢n real de interÇs o se utilizar† un caso propuesto. Para el proyecto seleccionado, se escribir† el acta de constituci¢n del proyecto. DespuÇs, se crear† la documentaci¢n para desarrollar el cronograma, el presupuesto y flujo de efectivo y se finalizar† con el plan de riesgos, identificando, cuantificando y estableciendo respuestas a los riesgos m†s importantes del proyecto. La intenci¢n del proyecto final es aplicar los conocimientos que has aprendido en los cursos anteriores. Los trabajos ser†n revisados por compa§eros de clase. En este m¢dulo, se dar†n las instrucciones para llevar a cabo las revisiones del trabajo entre pares. Al terminar esto, ser†s capaz de: - Escribir un acta de constituci¢n del proyecto (Charter). - Desarrollar una estructura desglosada del trabajo (EDT o WBS) del proyecto. - Desarrollar un cronograma detallado del proyecto. - Crear un presupuesto y flujo de efectivo para el proyecto. - Crear una matriz de roles y responsabilidades. - Desarrollar un plan de comunicaciones. - Generar un plan de riesgos del proyecto.;;20 dic. 2019;1-mar-20;0;Coursera;Equipo De Desarrollo De Summa;University Of California, Irvi;;
